0	17	5	1	0.6	0.6	1	2021-04-18 22:57:13.859385	2021-04-19 10:59:10.069515	12:01:56.210130	0.7157219179866339	0.5869052254108091	0.9169863541611926	0.8919325421954862	0.6936936936936937	
0	10	5	1	0.5	0.5	1	2021-04-18 22:57:04.741578	2021-04-19 16:45:36.444917	17:48:31.703339	0.7157219179866339	0.5869052254108091	0.9169863541611926	0.8919325421954862	0.6936936936936937	
0	17	5	1	0.6	0.6	2	2021-04-18 22:57:13.859385	2021-04-19 18:40:05.284306	19:42:51.424921	0.7187773048842385	0.591025553214776	0.9169863541611926	0.8907569782441742	0.6793893129770994	
"0	1	5	1	0.4	0.5	1	2021-04-18 22:56:53.137730	2021-04-19 23:04:32.134723	1 day, 0:07:38.996993	0.7700468096885956	0.7279892092128601	0.8172618973984686	0.8508826591917056	0.5957446808510639	"
"0	16	5	1	0.6	0.5	1	2021-04-18 22:57:12.634262	2021-04-19 23:05:52.229695	1 day, 0:08:39.595433	0.7327984715034928	0.7714963449368576	0.6977973052899771	0.8795978146378987	0.5630252100840336	"
1	9	5	1	0.5	0.4	1	2021-04-28 09:49:33.097143	2021-04-28 23:21:25.301194	13:31:52.204051	0.7245160315336029	0.6331494730861462	0.846698799857665	0.9357114502751132	0.6774193548387096	
1	3	5	1	0.4	0.4	1	2021-04-28 09:49:25.535247	2021-04-29 04:24:25.506086	18:34:59.970839	0.6741151478388979	0.8263459971850499	0.569247429093674	0.8785985549428261	0.5108359133126935	
1	14	5	1	0.6	0.6	1	2021-04-28 09:49:40.323429	2021-04-29 04:55:51.236933	19:06:10.913504	0.8572120996586219	0.7813806008889723	0.9493441399168178	0.8067731468982484	0.5303030303030303	
1	0	5	1	0.4	0.4	1	2021-04-28 09:49:21.774936	2021-04-29 05:32:31.772415	19:43:09.997479	0.8572120996586219	0.7813806008889723	0.9493441399168178	0.8067731468982484	0.5303030303030303	
"1	13	5	1	0.6	0.5	1	2021-04-28 09:49:38.420808	2021-04-29 10:43:28.506967	1 day, 0:53:50.086159	0.6580893761562101	0.8461546444764413	0.538420673616112	0.8824250729389308	0.5652173913043479	"
"1	12	5	1	0.6	0.4	1	2021-04-28 09:49:37.549136	2021-04-29 10:58:31.360668	1 day, 1:08:53.811532	0.7129845266083161	0.6753752141734288	0.7550295116872544	0.8562293359391133	0.5819209039548022	"
"1	8	5	1	0.5	0.6	1	2021-04-28 09:49:32.184181	2021-04-29 11:44:30.247118	1 day, 1:54:58.062937	0.7510776370031271	0.8048291229851128	0.7040563804605122	0.8807818697462745	0.5428571428571428	"
1	17	5	1	0.6	0.6	1	2021-04-28 09:49:43.913486	2021-04-29 05:25:04.391393	19:35:20.477907	0.8572120996586219	0.7813806008889723	0.9493441399168178	0.8067731468982484	0.5303030303030303	
1	9	5	1	0.5	0.4	2	2021-04-28 09:49:33.097143	2021-04-29 08:22:19.442301	22:32:46.345158	0.7344980160167008	0.6485544464003354	0.846698799857665	0.8632116800810993	0.6434108527131784	
"1	10	5	1	0.5	0.5	1	2021-04-28 09:49:34.954614	2021-04-29 13:00:27.779094	1 day, 3:10:52.824480	0.6398986046360675	0.7999551812726504	0.5332124320878988	0.871520630234667	0.5588235294117647	"
"1	4	5	1	0.4	0.5	1	2021-04-28 09:49:26.940514	2021-04-29 13:13:44.920948	1 day, 3:24:17.980434	0.7069082513036252	0.7472766876919134	0.6706777460891975	0.8297651456352474	0.572139303482587	"
2	19	5	1	0.5	0.6	1	2021-05-06 02:15:44.862431	2021-05-06 15:43:58.300630	13:28:13.438199	0.6850924383554277	0.5682778151312976	0.8623578644073611	0.8864593092258274	0.652892561983471	
2	10	5	1	0.5	0.5	1	2021-05-06 02:15:32.155751	2021-05-06 20:52:17.645375	18:36:45.489624	0.7507825968471308	0.6956911233910644	0.8153497871502744	0.9055346876084933	0.6488549618320612	
"2	7	5	1	0.5	0.5	1	2021-05-06 02:15:27.732646	2021-05-07 02:27:12.559022	1 day, 0:11:44.826376	0.6571575619333652	0.7800720324405819	0.5677053126459554	0.8522205295216586	0.5145631067961166	"
"2	19	5	1	0.5	0.6	2	2021-05-06 02:15:44.862431	2021-05-07 03:26:04.510274	1 day, 1:10:19.647843	0.6908304164384949	0.5926955876484644	0.8279106910575799	0.8782036069568329	0.6285714285714286	"
"2	3	5	1	0.4	0.4	1	2021-05-06 02:15:22.317193	2021-05-07 03:34:01.415630	1 day, 1:18:39.098437	0.7053068088642898	0.6682952178398217	0.7466583124477861	0.9114381149560833	0.6176470588235294	"
"2	18	5	1	0.4	0.5	1	2021-05-06 02:15:43.309960	2021-05-07 03:54:04.195515	1 day, 1:38:20.885555	0.7405446372977749	0.7510336546625351	0.730344565986283	0.905484065247596	0.5737704918032787	"
"2	1	5	1	0.4	0.5	1	2021-05-06 02:15:19.689520	2021-05-07 04:37:22.633093	1 day, 2:22:02.943573	0.7122876671304577	0.749332675445564	0.6787329222584935	0.8795400535275941	0.533596837944664	"
"2	2	5	1	0.4	0.6	1	2021-05-06 02:15:21.311832	2021-05-07 05:07:12.482829	1 day, 2:51:51.170997	0.6173479781444514	0.7727962256271913	0.5139639407819121	0.8517311118615638	0.5333333333333333	"
2	5	5	1	0.4	0.6	1	2021-05-06 02:15:25.550366	2021-05-07 00:12:43.998683	21:57:18.448317	0.7507825968471308	0.6956911233910644	0.8153497871502744	0.9055346876084933	0.6488549618320612	
